,close,predicted
2025-04-22,1756.26,
2025-04-23,1795.07,
2025-04-24,1769.65,
2025-04-25,1784.6,
2025-04-26,1820.88,
2025-04-27,1791.29,
2025-04-28,1799.88,
2025-04-29,1797.81,
2025-04-30,1793.61,
2025-05-01,1838.11,
2025-05-02,1842.2,
2025-05-03,1833.52,
2025-05-04,1808.86,
2025-05-05,1820.19,
2025-05-06,1817.0,
2025-05-07,1811.11,
2025-05-08,2207.39,
2025-05-09,2345.04,
2025-05-10,2583.23,
2025-05-11,2514.57,
2025-05-12,2495.47,
2025-05-13,2679.71,
2025-05-14,2609.74,
2025-05-15,2548.69,
2025-05-16,2537.12,
2025-05-17,2475.08,
2025-05-18,2497.78,
2025-05-19,2528.14,
2025-05-20,2524.19,
2025-05-21,2523.57,
2025-05-22,,2465.281794402413
2025-05-23,,2422.5688382650983
2025-05-24,,2409.184717553702
2025-05-25,,2408.818351530492
2025-05-26,,2411.7177244012264
2025-05-27,,2395.367987651974
2025-05-28,,2370.8554867338084
2025-05-29,,2357.60816376236
2025-05-30,,2414.7751352813057
2025-05-31,,2343.032264045496
2025-06-01,,2337.982782131236
2025-06-02,,2301.19361621857
2025-06-03,,2299.696714002811
2025-06-04,,2277.781305921755
2025-06-05,,2231.4845917386288
2025-06-06,,2250.9228149606006
2025-06-07,,2169.0235507142293
2025-06-08,,2162.042094529939
2025-06-09,,2158.7472091570953
2025-06-10,,2043.735109673086
2025-06-11,,1959.0993049540755
2025-06-12,,1866.723092748917
2025-06-13,,1819.429007964617
2025-06-14,,1675.1422665576647
2025-06-15,,1696.2548315056406
2025-06-16,,1650.377669578831
2025-06-17,,1687.8543237522856
2025-06-18,,1725.7103448040073
2025-06-19,,1712.2298286778764
2025-06-20,,1684.1712430332811
2025-06-21,,1663.1351134980387
2025-06-22,,1694.4585204360535
2025-06-23,,1682.8347865529522
2025-06-24,,1687.096572045455
2025-06-25,,1675.875166180332
2025-06-26,,1672.370877501211
2025-06-27,,1650.789722917378
2025-06-28,,1655.609402985441
2025-06-29,,1661.3461066508619
2025-06-30,,1645.3421754682906
2025-07-01,,1640.7303868258064
2025-07-02,,1659.624350574897
2025-07-03,,1609.8133051390091
2025-07-04,,1628.4142469393469
2025-07-05,,1572.7109391057327
2025-07-06,,1566.6316916448025
2025-07-07,,1590.5216171261757
2025-07-08,,1596.1810738647273
2025-07-09,,1570.2445683822689
2025-07-10,,1482.829701605754
2025-07-11,,1502.1260126002137
2025-07-12,,1507.3008397442247
2025-07-13,,1497.7810608429431
2025-07-14,,1436.4150604817896
2025-07-15,,1348.5527235751963
2025-07-16,,1304.5745213877951
2025-07-17,,1272.0754205614812
2025-07-18,,1220.239877026096
2025-07-19,,1187.3053843558016
2025-07-20,,1107.226755901592
2025-07-21,,1113.8448617362271
2025-07-22,,1079.285134110853
2025-07-23,,1046.6964877535106
2025-07-24,,1061.5571048780957
2025-07-25,,979.863342706807
2025-07-26,,944.0556303019674
2025-07-27,,882.0891387264685
2025-07-28,,853.3059488362322
2025-07-29,,858.1519557156852
2025-07-30,,868.4383105200412
2025-07-31,,850.5410335836652
2025-08-01,,864.4367215403227
2025-08-02,,851.8585904412208
2025-08-03,,854.8784013641481
2025-08-04,,846.3773995373247
2025-08-05,,846.8588162141468
2025-08-06,,850.3873466884461
2025-08-07,,851.4816553371245
2025-08-08,,872.6367062654167
2025-08-09,,941.8757040492135
2025-08-10,,922.6696073875424
2025-08-11,,877.3526498227363
2025-08-12,,856.0509960800807
2025-08-13,,803.7520726666069
2025-08-14,,776.0619737652299
2025-08-15,,742.5781633868627
2025-08-16,,736.9690192606761
2025-08-17,,696.2504512589534
2025-08-18,,667.6318712293436
2025-08-19,,635.7400983873353
